,name,amount,
1,CryptoPunk 441,58.2,"($194,358)"
2,CryptoPunk 441,59.95,"($203,242)"
3,CryptoPunk 441,50,"($163,984)"
4,CryptoPunk 441,59.95,"($192,704)"
5,CryptoPunk 441,60.95,"($186,446)"
6,CryptoPunk 441,58,"($181,956)"
7,CryptoPunk 441,58,"($180,451)"
8,CryptoPunk 441,60.95,"($189,050)"
9,CryptoPunk 441,55,"($175,993)"
10,CryptoPunk 441,58.95,"($188,488)"
11,CryptoPunk 441,60.44,"($194,591)"
12,CryptoPunk 441,63.88,"($215,428)"
13,CryptoPunk 441,60,"($204,799)"
14,CryptoPunk 441,60,"($205,588)"
15,CryptoPunk 441,63.5,"($220,330)"
16,CryptoPunk 441,46.46,"($129,016)"
17,CryptoPunk 441,1,"($2,799)"
18,CryptoPunk 441,1,"($2,799)"
19,CryptoPunk 441,46.46,"($131,048)"
20,CryptoPunk 441,44.44,"($118,990)"
21,CryptoPunk 441,19,"($37,737)"
22,CryptoPunk 441,19,"($37,737)"
23,CryptoPunk 441,14.5,"($28,799)"
24,CryptoPunk 441,19.75,"($39,227)"
25,CryptoPunk 441,0,$0.00 
26,CryptoPunk 441,0,$0.00 
27,CryptoPunk 441,22.2,"($45,289)"
28,CryptoPunk 441,19.95,"($42,849)"
29,CryptoPunk 441,18.95,"($40,396)"
30,CryptoPunk 441,18.95,"($40,642)"
31,CryptoPunk 441,19.95,"($47,086)"
32,CryptoPunk 441,18,"($42,483)"
33,CryptoPunk 441,18,"($42,483)"
34,CryptoPunk 441,18.49,"($44,145)"
35,CryptoPunk 441,21.5,"($71,288)"
36,CryptoPunk 441,21.95,"($72,707)"
37,CryptoPunk 441,19.2,"($41,289)"
38,CryptoPunk 441,19.2,"($41,218)"
39,CryptoPunk 441,19.4,"($41,717)"
40,CryptoPunk 441,19.7,"($42,362)"
41,CryptoPunk 441,18.5,"($39,781)"
42,CryptoPunk 441,18.5,"($39,781)"
43,CryptoPunk 441,19.25,"($41,160)"
44,CryptoPunk 441,21.97,"($39,238)"
45,CryptoPunk 441,0.01,($2)
46,CryptoPunk 441,21.97,"($41,975)"
47,CryptoPunk 441,22.44,"($39,221)"
48,CryptoPunk 441,20,"($35,964)"
49,CryptoPunk 441,20,"($35,790)"
50,CryptoPunk 1482,62,"($209,641)"
51,CryptoPunk 1482,59.69,"($201,830)"
52,CryptoPunk 1482,59.69,"($201,839)"
53,CryptoPunk 1482,56,"($181,885)"
54,CryptoPunk 1482,60.69,"($187,286)"
55,CryptoPunk 1482,55,"($168,922)"
56,CryptoPunk 1482,61.95,"($187,124)"
57,CryptoPunk 1482,63,"($201,437)"
58,CryptoPunk 1482,56,"($179,056)"
59,CryptoPunk 1482,63,"($201,980)"
60,CryptoPunk 1482,64,"($213,289)"
61,CryptoPunk 1482,69,"($263,530)"
62,CryptoPunk 1482,71,"($269,161)"
63,CryptoPunk 1482,0,$0.00 
64,CryptoPunk 1482,0,$0.00 
65,CryptoPunk 1482,83,"($346,065)"
66,CryptoPunk 1482,83,"($385,228)"
67,CryptoPunk 1482,71,"($332,870)"
68,CryptoPunk 1482,71,"($344,161)"
69,CryptoPunk 1482,83,"($402,068)"
70,CryptoPunk 1482,86,"($413,851)"
71,CryptoPunk 1482,91,"($433,861)"
72,CryptoPunk 1482,109,"($382,097)"
73,CryptoPunk 1482,76,"($244,030)"
74,CryptoPunk 1482,76,"($251,327)"
75,CryptoPunk 1482,0.31,($69)
76,CryptoPunk 1482,0.31,($69)
77,CryptoPunk 1482,0.6,($114)
78,CryptoPunk 548,62.5,"($201,999)"
79,CryptoPunk 548,44.75,"($124,267)"
80,CryptoPunk 548,44.75,"($126,225)"
81,CryptoPunk 548,36.99,"($96,679)"
82,CryptoPunk 548,36.99,"($97,543)"
83,CryptoPunk 548,39.99,"($102,347)"
84,CryptoPunk 548,21.89,"($72,581)"
85,CryptoPunk 548,21.89,"($72,581)"
86,CryptoPunk 548,22.5,"($74,604)"
87,CryptoPunk 548,22.99,"($73,376)"
88,CryptoPunk 548,22.99,"($62,770)"
89,CryptoPunk 548,19,"($49,749)"
90,CryptoPunk 548,22.49,"($57,358)"
91,CryptoPunk 548,19,"($48,457)"
92,CryptoPunk 548,21.99,"($48,126)"
93,CryptoPunk 548,21.5,"($51,760)"
94,CryptoPunk 548,18.9,"($45,944)"
95,CryptoPunk 548,18.9,"($45,944)"
96,CryptoPunk 548,19.48,"($46,134)"
97,CryptoPunk 548,20.4,"($44,035)"
98,CryptoPunk 548,33,"($81,503)"
99,CryptoPunk 548,25,"($51,135)"
100,CryptoPunk 548,17,"($35,762)"
101,CryptoPunk 548,19.99,"($33,700)"
102,CryptoPunk 548,22.99,"($36,826)"
103,CryptoPunk 548,29.49,"($43,673)"
104,CryptoPunk 548,39.99,"($76,026)"
105,CryptoPunk 3802,63,"($211,930)"
106,CryptoPunk 3802,67.88,"($259,109)"
107,CryptoPunk 3802,71,"($270,235)"
108,CryptoPunk 3802,72,"($270,450)"
109,CryptoPunk 3802,50,"($204,160)"
110,CryptoPunk 3802,66,"($269,485)"
111,CryptoPunk 3802,50,"($204,454)"
112,CryptoPunk 3802,63.5,"($260,521)"
113,CryptoPunk 3802,59.88,"($239,109)"
114,CryptoPunk 3802,61,"($243,956)"
115,CryptoPunk 3802,77.77,"($306,011)"
116,CryptoPunk 3802,90,"($365,003)"
117,CryptoPunk 3802,80,"($333,644)"
118,CryptoPunk 3802,99.98,"($397,339)"
119,CryptoPunk 3802,155,"($665,877)"
120,CryptoPunk 3802,133,"($469,511)"
121,CryptoPunk 3802,149.89,"($533,635)"
122,CryptoPunk 3802,126.66,"($457,159)"
123,CryptoPunk 3802,124.12,"($479,072)"
124,CryptoPunk 3802,180,"($682,675)"
125,CryptoPunk 3802,122.22,"($462,912)"
126,CryptoPunk 3802,180.88,"($587,160)"
127,CryptoPunk 3802,120.2,"($375,531)"
128,CryptoPunk 3802,105.25,"($328,824)"
129,CryptoPunk 3802,89.66,"($287,986)"
130,CryptoPunk 3802,89,"($288,581)"
131,CryptoPunk 3802,90,"($297,140)"
132,CryptoPunk 3802,78,"($259,718)"
133,CryptoPunk 3802,80.88,"($269,634)"
134,CryptoPunk 3802,67.95,"($227,759)"
135,CryptoPunk 3802,67.95,"($226,174)"
136,CryptoPunk 3802,0.31,($69)
137,CryptoPunk 3802,0.31,($69)
138,CryptoPunk 3802,0.41,($93)
139,CryptoPunk 1915,63.5,"($215,277)"
140,CryptoPunk 1915,60.95,"($206,632)"
141,CryptoPunk 1915,60.95,"($206,090)"
142,CryptoPunk 1915,55,"($168,922)"
143,CryptoPunk 1915,62.95,"($189,231)"
144,CryptoPunk 1915,63,"($201,437)"
145,CryptoPunk 1915,56,"($179,056)"
146,CryptoPunk 1915,63,"($201,980)"
147,CryptoPunk 1915,59,"($201,986)"
148,CryptoPunk 1915,59,"($202,162)"
149,CryptoPunk 1915,58,"($198,735)"
150,CryptoPunk 1915,64,"($231,800)"
151,CryptoPunk 1915,68,"($259,673)"
152,CryptoPunk 1915,69,"($262,716)"
153,CryptoPunk 1915,70,"($262,590)"
154,CryptoPunk 1915,0,$0.00 
155,CryptoPunk 1915,0,$0.00 
156,CryptoPunk 1915,0,$0.00 
157,CryptoPunk 1915,0,$0.00 
158,CryptoPunk 1915,130,"($613,162)"
159,CryptoPunk 1915,111,"($376,795)"
160,CryptoPunk 1915,111,"($376,795)"
161,CryptoPunk 1915,114,"($397,614)"
162,CryptoPunk 1915,119,"($411,610)"
163,CryptoPunk 1915,144.44,"($509,597)"
164,CryptoPunk 1915,93.39,"($339,335)"
165,CryptoPunk 1915,93.39,"($330,155)"
166,CryptoPunk 1915,99.99,"($391,978)"
167,CryptoPunk 1915,118.68,"($462,101)"
168,CryptoPunk 1915,110.1,"($357,963)"
169,CryptoPunk 1915,110.1,"($356,274)"
170,CryptoPunk 7969,63.98,"($208,126)"
171,CryptoPunk 7969,64.98,"($248,140)"
172,CryptoPunk 7969,67.49,"($257,620)"
173,CryptoPunk 7969,69.49,"($264,577)"
174,CryptoPunk 7969,72.51,"($272,285)"
175,CryptoPunk 7969,69.42,"($265,949)"
176,CryptoPunk 7969,64,"($250,128)"
177,CryptoPunk 7969,64,"($254,894)"
178,CryptoPunk 7969,62,"($246,929)"
179,CryptoPunk 7969,69.42,"($281,922)"
180,CryptoPunk 7969,60.98,"($238,350)"
181,CryptoPunk 7969,60.98,"($240,012)"
182,CryptoPunk 7969,63.97,"($258,676)"
183,CryptoPunk 7969,60.02,"($242,703)"
184,CryptoPunk 7969,62.99,"($251,704)"
185,CryptoPunk 7969,60.02,"($233,962)"
186,CryptoPunk 7969,63.99,"($246,467)"
187,CryptoPunk 7969,89.99,"($389,227)"
188,CryptoPunk 7969,91.99,"($419,358)"
189,CryptoPunk 7969,119.99,"($425,533)"
190,CryptoPunk 7969,144.99,"($467,522)"
191,CryptoPunk 7969,97,"($314,662)"
192,CryptoPunk 7969,97,"($311,120)"
193,CryptoPunk 7969,25,"($53,529)"
194,CryptoPunk 7969,27,"($58,264)"
195,CryptoPunk 7969,32,"($53,448)"
196,CryptoPunk 7969,32,"($50,772)"
197,CryptoPunk 7969,2.75,($949)
198,CryptoPunk 7969,2.3,($796)
199,CryptoPunk 2124,58,"($180,568)"
200,CryptoPunk 2124,55,"($168,922)"
201,CryptoPunk 2124,48,"($152,191)"
202,CryptoPunk 2124,48,"($152,191)"
203,CryptoPunk 2124,23,"($74,710)"
204,CryptoPunk 2124,63.99,"($207,177)"
205,CryptoPunk 2971,52,"($168,683)"
206,CryptoPunk 2971,52,"($168,683)"
207,CryptoPunk 2971,23,"($71,504)"
208,CryptoPunk 2971,23,"($72,706)"
209,CryptoPunk 2971,64,"($205,892)"
210,CryptoPunk 2971,40,"($102,428)"
211,CryptoPunk 2971,24.5,"($43,730)"
212,CryptoPunk 2971,24.5,"($47,869)"
213,CryptoPunk 2971,19.8,"($36,543)"
214,CryptoPunk 2971,3.15,"($1,114)"
215,CryptoPunk 2971,2,($678)
216,CryptoPunk 2971,1.5,($564)
217,CryptoPunk 2971,1.5,($331)
218,CryptoPunk 5380,58,"($180,568)"
219,CryptoPunk 5380,58,"($186,748)"
220,CryptoPunk 5380,64,"($217,659)"
221,CryptoPunk 5380,74,"($277,604)"
222,CryptoPunk 5380,70,"($281,661)"
223,CryptoPunk 5380,150,"($484,447)"
224,CryptoPunk 5380,100,"($333,500)"
225,CryptoPunk 5380,49.9,"($153,529)"
226,CryptoPunk 5380,23.5,"($100,200)"
227,CryptoPunk 5380,29.9,"($61,515)"
228,CryptoPunk 5380,19.9,"($40,752)"
229,CryptoPunk 5380,19.9,"($41,134)"
230,CryptoPunk 5380,15.7,"($32,452)"
231,CryptoPunk 5380,15.7,"($32,361)"
232,CryptoPunk 5380,13,"($25,429)"
233,CryptoPunk 5380,14.75,"($28,852)"
234,CryptoPunk 5380,13,"($25,429)"
235,CryptoPunk 5380,14.75,"($28,852)"
236,CryptoPunk 5380,13.5,"($26,622)"
237,CryptoPunk 5380,13.5,"($26,351)"
238,CryptoPunk 5380,15.5,"($29,803)"
239,CryptoPunk 5380,22,"($40,403)"
240,CryptoPunk 3716,52,"($168,683)"
241,CryptoPunk 3716,52,"($168,683)"
242,CryptoPunk 3716,64.5,"($208,370)"
243,CryptoPunk 9828,64.95,"($219,625)"
244,CryptoPunk 9828,67.95,"($239,306)"
245,CryptoPunk 9828,68.95,"($262,383)"
246,CryptoPunk 9828,69.95,"($266,440)"
247,CryptoPunk 9828,71.95,"($266,236)"
248,CryptoPunk 9828,69.95,"($270,511)"
249,CryptoPunk 9828,71.95,"($292,920)"
250,CryptoPunk 9828,59,"($240,133)"
251,CryptoPunk 9828,69.95,"($282,774)"
252,CryptoPunk 9828,71.95,"($295,354)"
253,CryptoPunk 9828,64.8,"($266,003)"
254,CryptoPunk 9828,59,"($242,270)"
255,CryptoPunk 9828,64.8,"($266,086)"
256,CryptoPunk 9828,145,"($461,631)"
257,CryptoPunk 9828,185,"($600,453)"
258,CryptoPunk 9828,145,"($469,142)"
259,CryptoPunk 9828,135,"($436,787)"
260,CryptoPunk 9828,135,"($449,352)"
261,CryptoPunk 9828,250,"($837,160)"
262,CryptoPunk 9828,95,"($309,316)"
263,CryptoPunk 9828,85,"($256,919)"
264,CryptoPunk 9828,77.77,"($242,695)"
265,CryptoPunk 9828,95,"($291,149)"
266,CryptoPunk 9828,117,"($328,644)"
267,CryptoPunk 9828,58.97,"($165,642)"
268,CryptoPunk 9828,58.97,"($165,271)"
269,CryptoPunk 9828,43.5,"($113,065)"
270,CryptoPunk 9828,43.5,"($113,070)"
271,CryptoPunk 9828,54.5,"($146,122)"
272,CryptoPunk 9828,3.15,($745)
273,CryptoPunk 9828,1.5,($300)
274,CryptoPunk 9828,1.5,($300)
275,CryptoPunk 9828,1.89,($403)
276,CryptoPunk 9828,1.99,($377)
277,CryptoPunk 9828,2.99,($427)
278,CryptoPunk 9828,1.2,($172)
279,CryptoPunk 9828,0.8,($111)
280,CryptoPunk 9828,0.8,($111)
281,CryptoPunk 9828,0.4,($109)
282,CryptoPunk 9828,0.4,($109)
283,CryptoPunk 9828,1.2,($242)
284,CryptoPunk 5790,64.99,"($219,760)"
285,CryptoPunk 5790,74.99,"($305,203)"
286,CryptoPunk 5790,69.99,"($287,159)"
287,CryptoPunk 5790,57.7,"($230,221)"
288,CryptoPunk 5790,57.7,"($229,691)"
289,CryptoPunk 5790,61,"($237,832)"
290,CryptoPunk 5790,64,"($258,919)"
291,CryptoPunk 5790,67,"($256,822)"
292,CryptoPunk 5790,84,"($341,468)"
293,CryptoPunk 1139,65,"($217,350)"
294,CryptoPunk 1139,77,"($257,266)"
295,CryptoPunk 1139,99.88,"($426,936)"
296,CryptoPunk 1139,97,"($414,626)"
297,CryptoPunk 1139,97,"($422,063)"
298,CryptoPunk 1139,99.88,"($432,004)"
299,CryptoPunk 1139,101.99,"($440,448)"
300,CryptoPunk 1139,101.99,"($449,598)"
301,CryptoPunk 1139,105,"($453,909)"
302,CryptoPunk 1139,120,"($503,458)"
303,CryptoPunk 1139,135,"($558,756)"
304,CryptoPunk 1139,200,"($717,660)"
305,CryptoPunk 1139,97,"($348,065)"
306,CryptoPunk 1139,97,"($336,230)"
307,CryptoPunk 1139,97,"($286,164)"
308,CryptoPunk 1139,50.8,"($148,739)"
309,CryptoPunk 1139,50.8,"($153,373)"
310,CryptoPunk 1139,52.4,"($156,979)"
311,CryptoPunk 1139,72,"($224,605)"
312,CryptoPunk 1139,52.4,"($163,400)"
313,CryptoPunk 1139,61,"($177,529)"
314,CryptoPunk 1139,72,"($210,236)"
315,CryptoPunk 1139,123,"($339,772)"
316,CryptoPunk 1139,90,"($253,860)"
317,CryptoPunk 1139,50,"($141,033)"
318,CryptoPunk 1139,50,"($139,807)"
319,CryptoPunk 9713,65,"($219,128)"
320,CryptoPunk 9713,127,"($490,455)"
321,CryptoPunk 9713,260,"($830,029)"
322,CryptoPunk 9713,78.99,"($263,333)"
323,CryptoPunk 9713,78.99,"($250,146)"
324,CryptoPunk 9713,99.99,"($262,811)"
325,CryptoPunk 9713,49.99,"($125,387)"
326,CryptoPunk 9713,35.99,"($87,881)"
327,CryptoPunk 9713,24.99,"($53,482)"
328,CryptoPunk 9713,25.99,"($66,119)"
329,CryptoPunk 9713,18.95,"($29,014)"
330,CryptoPunk 9713,18.95,"($28,780)"
331,CryptoPunk 9713,32.45,"($52,804)"
332,CryptoPunk 9713,17.79,"($33,756)"
333,CryptoPunk 9713,1.2,($465)
334,CryptoPunk 9713,1.2,($465)
335,CryptoPunk 3836,65.95,"($223,007)"
336,CryptoPunk 3836,67.95,"($214,797)"
337,CryptoPunk 3836,60,"($190,561)"
338,CryptoPunk 3836,60,"($190,561)"
339,CryptoPunk 3836,75,"($284,325)"
340,CryptoPunk 3836,152,"($493,225)"
341,CryptoPunk 3836,152,"($493,345)"
342,CryptoPunk 3836,147,"($477,163)"
343,CryptoPunk 3836,122,"($396,013)"
344,CryptoPunk 3836,122,"($396,652)"
345,CryptoPunk 3836,100,"($332,853)"
346,CryptoPunk 3836,80,"($246,110)"
347,CryptoPunk 3836,5.5,"($16,152)"
348,CryptoPunk 3836,55,"($161,521)"
349,CryptoPunk 3836,5.5,"($16,146)"
350,CryptoPunk 3836,55,"($160,597)"
351,CryptoPunk 3836,65,"($181,171)"
352,CryptoPunk 3836,24,"($37,266)"
353,CryptoPunk 3836,24,"($32,301)"
354,CryptoPunk 983,60,"($186,734)"
355,CryptoPunk 983,66,"($208,897)"
356,CryptoPunk 983,165,"($756,343)"
357,CryptoPunk 983,150,"($717,038)"
358,CryptoPunk 983,250,"($857,513)"
359,CryptoPunk 983,165,"($477,234)"
360,CryptoPunk 983,135,"($521,444)"
361,CryptoPunk 983,110,"($434,950)"
362,CryptoPunk 983,125,"($443,142)"
363,CryptoPunk 983,135,"($464,277)"
364,CryptoPunk 983,150,"($512,574)"
365,CryptoPunk 983,155,"($494,825)"
366,CryptoPunk 983,175,"($558,673)"
367,CryptoPunk 983,250,"($809,878)"
368,CryptoPunk 983,148,"($480,704)"
369,CryptoPunk 983,148,"($480,362)"
370,CryptoPunk 9103,62,"($209,576)"
371,CryptoPunk 9103,62,"($200,294)"
372,CryptoPunk 9103,66.2,"($251,918)"
373,CryptoPunk 9103,60,"($240,229)"
374,CryptoPunk 9103,60,"($244,089)"
375,CryptoPunk 9103,55,"($223,494)"
376,CryptoPunk 9103,57.5,"($232,097)"
377,CryptoPunk 9103,57.5,"($233,953)"
378,CryptoPunk 9103,62,"($252,262)"
379,CryptoPunk 9103,106,"($397,389)"
380,CryptoPunk 9103,106,"($397,389)"
381,CryptoPunk 9103,149.5,"($460,562)"
382,CryptoPunk 9103,99.9,"($362,211)"
383,CryptoPunk 9103,99.9,"($349,475)"
384,CryptoPunk 9103,95,"($370,433)"
385,CryptoPunk 9103,95,"($367,882)"
386,CryptoPunk 9103,105,"($390,658)"
387,CryptoPunk 9103,126,"($398,820)"
388,CryptoPunk 9103,125,"($395,655)"
389,CryptoPunk 9103,142.9,"($457,540)"
390,CryptoPunk 9103,147.9,"($472,150)"
391,CryptoPunk 9103,169.69,"($547,167)"
392,CryptoPunk 9103,147.9,"($477,260)"
393,CryptoPunk 9103,150,"($486,842)"
394,CryptoPunk 9103,133.33,"($432,515)"
395,CryptoPunk 9103,105,"($339,771)"
396,CryptoPunk 9103,115,"($372,335)"
397,CryptoPunk 9103,130,"($433,610)"
398,CryptoPunk 9103,69.69,"($204,291)"
399,CryptoPunk 9103,100,"($280,892)"
400,CryptoPunk 9103,60,"($151,897)"
401,CryptoPunk 9103,45,"($113,923)"
402,CryptoPunk 9103,41,"($103,796)"
403,CryptoPunk 9103,37.9,"($100,713)"
404,CryptoPunk 9103,37.9,"($147,251)"
405,CryptoPunk 9103,21.5,"($46,101)"
406,CryptoPunk 9103,20.25,"($43,421)"
407,CryptoPunk 9103,21.5,"($46,101)"
408,CryptoPunk 9103,20.25,"($41,967)"
409,CryptoPunk 9103,20,"($32,618)"
410,CryptoPunk 9103,20,"($31,022)"
411,CryptoPunk 9103,24,"($35,891)"
412,CryptoPunk 9103,14.5,"($27,838)"
413,CryptoPunk 5358,60.02,"($202,883)"
414,CryptoPunk 5358,60,"($186,734)"
415,CryptoPunk 5358,66.66,"($212,479)"
416,CryptoPunk 5358,72.72,"($276,498)"
417,CryptoPunk 5358,0.06,($155)
418,CryptoPunk 5358,0.06,($156)
419,CryptoPunk 5358,0,($18)
420,CryptoPunk 7484,60,"($186,734)"
421,CryptoPunk 7484,66.69,"($211,809)"
422,CryptoPunk 7484,75,"($306,233)"
423,CryptoPunk 7484,88.88,"($369,180)"
424,CryptoPunk 7484,125,"($588,246)"
425,CryptoPunk 7484,180.08,"($591,549)"
426,CryptoPunk 7484,139.99,"($443,004)"
427,CryptoPunk 7484,159.99,"($519,196)"
428,CryptoPunk 7484,150.8,"($487,542)"
429,CryptoPunk 7484,99.99,"($333,812)"
430,CryptoPunk 7484,80.08,"($222,055)"
431,CryptoPunk 7484,50,"($122,965)"
432,CryptoPunk 7484,40,"($85,539)"
433,CryptoPunk 7484,40,"($61,576)"
434,CryptoPunk 7484,33,"($58,845)"
435,CryptoPunk 7484,34.56,"($67,736)"
436,CryptoPunk 7484,30,"($52,531)"
437,CryptoPunk 7484,6.94,"($2,484)"
438,CryptoPunk 7484,6.94,"($1,635)"
439,CryptoPunk 7484,4.34,"($1,176)"
440,CryptoPunk 7484,0.9,($244)
441,CryptoPunk 7484,0.9,($253)
442,CryptoPunk 7484,1.1,($295)
443,CryptoPunk 7484,1.35,($312)
444,CryptoPunk 7484,1.75,($391)
445,CryptoPunk 7484,5,($718)
446,CryptoPunk 7484,1.95,($274)
447,CryptoPunk 7484,1.4,($198)
448,CryptoPunk 7484,0.78,($107)
449,CryptoPunk 7484,0.78,($106)
450,CryptoPunk 7484,0.95,($127)
451,CryptoPunk 7484,0.5,($134)
452,CryptoPunk 7484,0.5,($134)
453,CryptoPunk 197,66.69,"($254,875)"
454,CryptoPunk 197,67.69,"($256,886)"
455,CryptoPunk 197,68.99,"($266,453)"
456,CryptoPunk 197,65,"($242,430)"
457,CryptoPunk 197,65,"($242,430)"
458,CryptoPunk 197,68.69,"($251,702)"
459,CryptoPunk 197,64,"($234,516)"
460,CryptoPunk 197,64,"($234,516)"
461,CryptoPunk 197,64,"($231,750)"
462,CryptoPunk 197,65,"($244,084)"
463,CryptoPunk 197,63,"($236,574)"
464,CryptoPunk 197,66,"($248,206)"
465,CryptoPunk 197,63,"($237,804)"
466,CryptoPunk 197,66.5,"($251,016)"
467,CryptoPunk 197,71,"($276,904)"
468,CryptoPunk 197,79,"($341,311)"
469,CryptoPunk 197,69.5,"($284,385)"
470,CryptoPunk 197,69.5,"($284,385)"
471,CryptoPunk 197,69.95,"($286,730)"
472,CryptoPunk 197,67,"($274,638)"
473,CryptoPunk 197,70.95,"($310,975)"
474,CryptoPunk 197,72.95,"($332,783)"
475,CryptoPunk 197,73.95,"($333,821)"
476,CryptoPunk 197,70,"($315,990)"
477,CryptoPunk 197,70,"($315,990)"
478,CryptoPunk 197,113.95,"($411,579)"
479,CryptoPunk 197,116.9,"($421,297)"
480,CryptoPunk 7877,67.49,"($209,486)"
481,CryptoPunk 7877,68.63,"($217,601)"
482,CryptoPunk 7877,61,"($192,507)"
483,CryptoPunk 7877,61,"($191,367)"
484,CryptoPunk 7877,70,"($219,269)"
